
Creature{name='Jesse Griffin', creatureType='human', strength=2, dexterity=0, constitution=-1, intelligence=-3, wisdom=-1, charisma=-2, armorClass=10, faction='random', gender='male', sex='male', age=28, height=177.0}
Creature{name='Tara Brennan', creatureType='human', strength=3, dexterity=0, constitution=3, intelligence=2, wisdom=0, charisma=-4, armorClass=10, faction='random', gender='male', sex='male', age=40, height=198.0}
Creature{name='Darlene Stein', creatureType='human', strength=-3, dexterity=1, constitution=1, intelligence=2, wisdom=0, charisma=1, armorClass=10, faction='random', gender='male', sex='male', age=12, height=183.0}
Creature{name='Rachel Weaver', creatureType='human', strength=-3, dexterity=-3, constitution=-1, intelligence=-2, wisdom=3, charisma=-4, armorClass=10, faction='random', gender='male', sex='male', age=37, height=161.0}
Creature{name='Elizabeth Cochran', creatureType='human', strength=3, dexterity=-2, constitution=1, intelligence=-1, wisdom=-4, charisma=-3, armorClass=10, faction='random', gender='male', sex='male', age=13, height=151.0}
Creature{name='Ignacio Castaneda', creatureType='human', strength=-3, dexterity=2, constitution=-2, intelligence=2, wisdom=-3, charisma=-3, armorClass=10, faction='random', gender='male', sex='male', age=35, height=191.0}
Creature{name='Lou McDaniel', creatureType='human', strength=-1, dexterity=-3, constitution=0, intelligence=2, wisdom=-4, charisma=-1, armorClass=10, faction='random', gender='male', sex='male', age=32, height=157.0}
Creature{name='Cara Watts', creatureType='human', strength=-4, dexterity=1, constitution=2, intelligence=-1, wisdom=-1, charisma=3, armorClass=10, faction='random', gender='male', sex='male', age=34, height=187.0}
Creature{name='Rachel Weaver', creatureType='human', strength=4, dexterity=-3, constitution=-3, intelligence=-3, wisdom=-4, charisma=-2, armorClass=10, faction='random', gender='male', sex='male', age=10, height=174.0}
Creature{name='Bert Lindsey', creatureType='human', strength=3, dexterity=0, constitution=-1, intelligence=2, wisdom=-2, charisma=3, armorClass=10, faction='random', gender='male', sex='male', age=47, height=186.0}
Creature{name='Antonia Hansen', creatureType='human', strength=2, dexterity=-2, constitution=0, intelligence=3, wisdom=-2, charisma=3, armorClass=10, faction='random', gender='male', sex='male', age=10, height=158.0}
Creature{name='Lana Fletcher', creatureType='human', strength=-1, dexterity=4, constitution=2, intelligence=-2, wisdom=1, charisma=3, armorClass=10, faction='random', gender='male', sex='male', age=24, height=175.0}
Creature{name='Erica Erickson', creatureType='human', strength=-1, dexterity=3, constitution=-4, intelligence=3, wisdom=-1, charisma=3, armorClass=10, faction='random', gender='male', sex='male', age=45, height=159.0}
Creature{name='Erica Erickson', creatureType='human', strength=0, dexterity=-2, constitution=-1, intelligence=-2, wisdom=-1, charisma=0, armorClass=10, faction='random', gender='male', sex='male', age=44, height=196.0}
Creature{name='Janie Hunter', creatureType='human', strength=-4, dexterity=3, constitution=-2, intelligence=1, wisdom=-2, charisma=4, armorClass=10, faction='random', gender='male', sex='male', age=21, height=165.0}
Creature{name='Jeremiah Rivera', creatureType='human', strength=-1, dexterity=-2, constitution=-4, intelligence=4, wisdom=-2, charisma=0, armorClass=10, faction='random', gender='male', sex='male', age=31, height=153.0}
Creature{name='Sue Fields', creatureType='human', strength=-3, dexterity=-4, constitution=-1, intelligence=2, wisdom=-3, charisma=-1, armorClass=10, faction='random', gender='male', sex='male', age=30, height=177.0}
Creature{name='Natalie Calderon', creatureType='human', strength=0, dexterity=-4, constitution=0, intelligence=1, wisdom=-2, charisma=-1, armorClass=10, faction='random', gender='male', sex='male', age=35, height=173.0}
Creature{name='Marco Gibson', creatureType='human', strength=0, dexterity=1, constitution=-4, intelligence=4, wisdom=-3, charisma=0, armorClass=10, faction='random', gender='male', sex='male', age=32, height=160.0}
Creature{name='Jackie Sanders', creatureType='human', strength=-3, dexterity=0, constitution=3, intelligence=3, wisdom=-1, charisma=1, armorClass=10, faction='random', gender='male', sex='male', age=11, height=195.0}
Creature{name='Felix Dorsey', creatureType='human', strength=0, dexterity=4, constitution=2, intelligence=0, wisdom=1, charisma=1, armorClass=10, faction='random', gender='male', sex='male', age=49, height=158.0}
Creature{name='Ignacio Castaneda', creatureType='human', strength=-1, dexterity=-1, constitution=-2, intelligence=3, wisdom=-2, charisma=2, armorClass=10, faction='random', gender='male', sex='male', age=10, height=163.0}
Creature{name='Kari Schneider', creatureType='human', strength=4, dexterity=-1, constitution=0, intelligence=-2, wisdom=3, charisma=3, armorClass=10, faction='random', gender='male', sex='male', age=35, height=156.0}
Creature{name='Patricia Bush', creatureType='human', strength=-4, dexterity=4, constitution=1, intelligence=2, wisdom=2, charisma=-1, armorClass=10, faction='random', gender='male', sex='male', age=14, height=151.0}
Creature{name='Erica Erickson', creatureType='human', strength=-2, dexterity=3, constitution=-2, intelligence=1, wisdom=-4, charisma=1, armorClass=10, faction='random', gender='male', sex='male', age=30, height=184.0}
Creature{name='Graciela Chase', creatureType='human', strength=-1, dexterity=-4, constitution=-1, intelligence=2, wisdom=0, charisma=-2, armorClass=10, faction='random', gender='male', sex='male', age=40, height=175.0}
